id,slug,name,category,tagline,tags,logo_url,logo_path,neighborhood,address,city,country,lat,lng,hours_raw,url
al-bustan-palace,al-bustan-palace,Al Bustan Palace,Hotels,Luxury beachfront resort with palace-like grandeur.,5-Star;Luxury;Beachfront,,,Ghala,Way 3935,Muscat,Oman,23.633817,58.438365,Daily 10:00-22:00,https://www.ritzcarlton.com/en/hotels/mctaq-al-bustan-palace
the-chedi-muscat,the-chedi-muscat,The Chedi Muscat,Hotels,Minimalist luxury on a private beachfront.,5-Star;Luxury;Spa,,,Madinat Qaboos,Al Kharjiyah St,Muscat,Oman,23.53445,58.389982,Daily 10:00-22:00,https://www.ghmhotels.com/en/muscat/
kargeen-cafe,kargeen-cafe,Kargeen Cafe,Restaurants,Garden-style Omani & Arabic cuisine.,Family Friendly;Outdoor Seating;Traditional,,,Qantab,Sultan Qaboos St,Muscat,Oman,23.630243,58.584424,Sun-Thu 08:00-17:00,https://kargeencaffe.com/
oman-avenues-mall,oman-avenues-mall,Oman Avenues Mall,Malls,Large shopping mall with international brands & dining.,Parking;Family Friendly;Cinema,,,Bausher,Al Seeb St,Muscat,Oman,23.64332,58.36208,Daily 08:00-23:00,https://www.omanavenuesmall.com/
royal-opera-house-muscat,royal-opera-house-muscat,Royal Opera House Muscat,Attractions,World-class opera house & cultural venue.,Performing Arts;Tours;Landmark,,,Ruwi,Al Mouj Blvd,Muscat,Oman,23.568902,58.4289,Daily 08:00-23:00,https://rohmuscat.org.om/
sultan-qaboos-grand-mosque,sultan-qaboos-grand-mosque,Sultan Qaboos Grand Mosque,Attractions,Iconic mosque with stunning architecture and gardens.,Landmark;Tours,,,North Ghubrah,Way 3935,Muscat,Oman,23.58319,58.474873,Sat-Thu 09:00-21:00; Fri 16:00-22:00,https://www.sultanqaboosgrandmosque.com/
bait-al-zubair-museum,bait-al-zubair-museum,Bait Al Zubair Museum,Museums,Private museum showcasing Omani heritage.,Heritage;Gallery;Family Friendly,,,Al Hail,Al Maha St,Muscat,Oman,23.632162,58.531593,Sun-Thu 08:00-17:00,https://www.baitalzubair.com/
qurum-natural-park,qurum-natural-park,Qurum Natural Park,Parks,"Lakes, gardens, and walking paths in the heart of Qurum.",Family Friendly;Playground;Picnic,,,Madinat Al Sultan Qaboos,Way 2620,Muscat,Oman,23.610829,58.585463,,
al-mouj-marina,al-mouj-marina,Al Mouj Marina,Attractions,"Marina promenade with dining, sailing, and leisure.",Waterfront;Family Friendly;Dining,,,Bausher,Way 2620,Muscat,Oman,23.649744,58.637275,Sun-Thu 08:00-17:00,https://www.almouj.com/en/marina
shangri-la-barr-al-jissah,shangri-la-barr-al-jissah,Shangri-La Barr Al Jissah,Hotels,Clifftop resort with private beaches and family facilities.,5-Star;Resort;Beachfront;Family Friendly,,,Shatti Al Qurum,Al Seeb St,Muscat,Oman,23.552772,58.473687,Box Office: Sun-Thu 10:00-19:00,https://www.shangri-la.com/muscat/barraljissahresort/
